,Company,Location,Salary,Search City,Summary,Title
776,    American Association for Cancer Research,"Philadelphia, PA",,Philadelphia,"Works with scientists and media relations staff to help identify and promote newsworthy content from the AACR’s journals, scientific meetings, programs, and...",Science Writer
777,"    Janssen Research & Development, LLC.","Spring House, PA",,Philadelphia,"Help manage the delivery of scientific analyses in support. Integrate heterogeneous data sources deriving from electronic health records,....","Postdoctoral Fellow, Population Analytics"
778,        Exponent,"Philadelphia, PA 19104 (Belmont area)",,Philadelphia,"Conducting research to obtain and review technical data, scientific literature, and standards. Providing case management, data processing, and other project...",Scientist
779,    Emerson Howell Nagel & Associates,"Philadelphia, PA",,Philadelphia,Statistical modeling and data mining experience. Experience working with large data sets. Develop architecture for managing data flows from external sources....,Quantitative Analyst
780,        DuPont,"Wilmington, DE",,Philadelphia,For bringing Machine Learning and advanced Data Analytics methods to bear on. Statistical Data Mining. Experience in cutting-edge Data Analytics....,Bioinformatics Scientist – Data Analytics
781,        QuintilesIMS,"Philadelphia, PA",,Philadelphia,"Collaborate extensively with business owners, subject matter experts, and go to market teams to develop and deliver analytics leveraging data asset to support...","Sr. Programmer / Sr. Statistician, Advanced Analytics"
782,    Numeric Jobs,"Philadelphia, PA",,Philadelphia,Manage multiple online & offline data sources and perform data management and data cleansing processes. BI group is seeking a skilled Statistical Data Analyst...,Statistical Data Analyst
783,        Reed Elsevier,"Philadelphia, PA",,Philadelphia,Experience using data analysis techniques like predictive (regression) modeling and with machine learning including supervised or unsupervised learning...,Analytics-Technical Team Lead
784,    RomAnalytics,"West Chester, PA",,Philadelphia,"Big data experience. Provides input in developing statistical analysis plans, specifications of analysis datasets, validation plans, and other related documents...",Statistical Programmer
785,        KPMG,"Philadelphia, PA",,Philadelphia,"Drive client engagements focused on Big Data and Advanced Business Analytics, in the health care space (claims data, payor/provider data, clinical outcomes);...",Data Scientist - Health Care
786,        Saudi Aramco,United States,,Philadelphia,"Petroleum engineers and earth scientists in E&P work with cutting-edge technology to manage and produce these reserves, including 3D visualization, reservoir...",Consultant Geologist - Petrophysicist
787,        Temple University,"Philadelphia, PA 19176",,Philadelphia,Strong data management skills including the ability to manage large data sets. This position will specifically work collaboratively with various university...,Research Analyst II
788,"        Vertex, Inc.","Wayne, PA 19087",,Philadelphia,"Test software functionality per tax content test plans. Vertex is considered a premier partner to Oracle, SAP, and works closely with the Big 4 and other...",Tax Research Analyst
789,        Reed Elsevier,"Philadelphia, PA",,Philadelphia,"Data analytics experience working with a variety of data sources. A global company based in Amsterdam, Elsevier partners with scientists, researchers,...",Data Scientist
790,    J2 Solutions,"King of Prussia, PA 19406",,Philadelphia,"J2 Solutions is seeking a SAS Statistical Programmer to join one of our growing clients. We are looking for a talented, team-oriented, and motivated",Statistical Programmer
791,        Temple University,"Philadelphia, PA",,Philadelphia,The Assistant Scientist in the Thrombosis Research Center will perform scientific experiments and have an in-depth technical and theoretical knowledge and...,Assistant Scientist
792,        University of Pennsylvania,"Philadelphia, PA",,Philadelphia,The successful candidate will join a team of research scientists studying the ways in which the brain stores and retrieves verbal and spatial memories and how...,RESEARCH SPECIALIST COMPUTATIONAL MEMORY LAB
793,        KPMG,"Philadelphia, PA",,Philadelphia,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Five years of professional experience working as a Data...",Data Scientist - Financial Services
794,    CavalierIt Inc,"Horsham, PA",,Philadelphia,"Responsible for statistical aspects of clinical and pre-clinical research projects including study design, sample size estimation, patient randomization, case...",Statistician
795,    Collab Infotech,"Spring House, PA",,Philadelphia,", if you are interested please send your updated resume to *nancy @ collabinfo.com*. The scientist will work to develop cell lines that be used in GMP...",Scientist II - AAV
796,        Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",,Philadelphia,"MS biostatistics, statistics, clinical epidemiology, health services research, economics or a related field. The analyst works closely with senior statisticians...",Research Statistician I
797,"    M. Davis and Company, Inc.","Philadelphia, PA",,Philadelphia,Design research projects that apply valid scientific techniques and utilize information obtained from baselines or historical data in order to structure...,Statistician- Market Research
798,        Thomas Jefferson University and Hospitals,"Philadelphia, PA",,Philadelphia,"Thomas Jefferson University and Hospitals provide excellent clinical and compassionate care for our patients in the Philadelphia region, educate the health...",Application Development Specialist - IS&T Department
799,        mPower Software Services,"Philadelphia, PA 19120",,Philadelphia,"Minimum of 3-5 years SAS system administration experience encompassing entire SAS suite of toolsMinimum of 3-5 years hands on analysis experience with SAS, SAS...",SAS Applications Administrator
800,        SAP,"Newtown Square, PA",,Philadelphia,The application of data science techniques in SAP customer projects is extremely diverse and ranges from supply chain optimization solutions over point-of-sales...,Data Scientist - SAP Custom Development Job
801,        Agilent,"Wilmington, DE",,Philadelphia,Propose new data models and visualization tools to more effectively spot trends and anomalies in large amounts of data....,Services Data Scientist
802,        Thomas Jefferson University,"Philadelphia, PA 19107 (City Center East area)",,Philadelphia,"Computer skills that include data acquisition, statistical analysis, and image processing. A research technician position is immediately available in Dr....",Research Tech A
803,        GlaxoSmithKline,"Philadelphia, PA",,Philadelphia,"Within GSK, Clinical Statistics is part of Quantitative Sciences, a group which includes clinical pharmacology modelling and simulation, epidemiology, non...",Principal Statistician
804,        IMS Health,"Plymouth Meeting, PA",,Philadelphia,"Health Economics & outcomes research, multivariate analysis, regression analysis and forecasting, sampling, data modeling, R programming, machine learning, SPSS...",Statistical Programmer
805,        GlaxoSmithKline,"Collegeville, PA 19426",,Philadelphia,"Demonstrates scientific principles, practices and procedures to the clinical development process, knowing when and how to balance scientific and commercial...",Principal Clinical Data Scientist
806,        University of Pennsylvania,"Philadelphia, PA",,Philadelphia,"Keep abreast of the work of other scientists within GTP and in the wider scientific community. Read relevant scientific literature and journals, share the...",RESEARCH SPECIALIST B/C
807,        Elsevier,"Philadelphia, PA 19103 (Belmont area)",,Philadelphia,Elsevier is looking for an junior data scientist with a focus on Machine Learning and Statistical NLP techniques to help build state of the art applications for...,Junior Data Scientist
808,    CavalierIt Inc,"Horsham, PA",,Philadelphia,The ability to generate and maintain experimental data in an electronic laboratory notebook in a highly organized manner is essential....,Scientist
809,        Reed Elsevier,"Philadelphia, PA",,Philadelphia,Elsevier is looking for an junior data scientist with a focus on Machine Learning and Statistical NLP techniques to help build state of the art applications for...,Junior Data Scientist
810,        Merck & Co.,"West Point, PA",,Philadelphia,"As a postdoctoral fellow in Pharmacokinetics, Pharmacodynamics and Drug Metabolism (PPDM) you will work with a highly collaborative team of scientists from...",Postdoctoral Research Fellow - Antibacterial Pharmacokinetic...
811,    Eurofins,"Malvern, PA",,Philadelphia,"Experience reviewing data applying GMP standards. Data Review Scientist responsibilities include, but are not limited to, the following :....",Data Review Scientist - PDMS
812,    Adaptimmune USA,"Philadelphia, PA 19103 (Belmont area)",,Philadelphia,"Report data and conclusions to relevant stakeholders across departments (Research, Translational Sciences, Clinical, Biometrics) to insure that objectives are...","Senior Scientist, Biomarker Assays and Platform Research"
813,        Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",,Philadelphia,"The Scientist will be working with a diverse laboratory and clinical oncology team, therefore previous knowledge of clinical oncology is highly desirable....",Bioinformatics Scientist III - 16-41196
814,        GlaxoSmithKline,"Collegeville, PA 19426",,Philadelphia,"We now have a number of job opportunities in the Target Sciences Statistics team – opportunities to collaborate with other scientists to advance exciting,...","Principal Statistician, Statistical Consulting, Target Scien..."
815,"    Janssen Research & Development, LLC.","Spring House, PA",,Philadelphia,"Data is preferred. Analysis techniques such as data visualization and analysis of high-dimensional. Research conducted during the discovery, development and...",Senior Statistician
816,        Aetna,"Blue Bell, PA 19422",,Philadelphia,"Data Analysis and Data Manipulation -Follows established schedules, CMS calendars, reporting and requirements....",Financial Data Reporting & Analysis Associate
817,    MeetMe,"Philadelphia, PA",,Philadelphia,"You will also provide architectural mentorship, and work with our Data Scientists, to ensure data is available in a consistent, timely, and reliable manner....",Data Pipeline Engineer
818,        Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",,Philadelphia,The CCMT fosters a multidisciplinary approach among researchers and scientists working to discover new gene and cell therapies in search of cures for...,Research Tech I
819,        Public Health Management Corporation,"Philadelphia, PA","$70,000 a year",Philadelphia,"PhD or equivalent doctoral degree in public health, human development, psychology, behavioral health, criminal justice, health services or related field....",Research Scientist - Research & Evaluation Group
820,        National Board of Medical Examiners,"Philadelphia, PA",,Philadelphia,"Protection of the health of the public through state-of-the-art assessment of health professionals is the mission of the NBME, along with a major commitment to...",Data Analysis Manager
821,    Collab Infotech,"Malvern, PA",,Philadelphia,"Data reporting, some ability to troubleshoot equipment, scientific understanding of cell culture, and experience with team-based collaborations is a must....",Scientist - Cell Banking
822,        University of Pennsylvania,"Philadelphia, PA",,Philadelphia,"Professional experience in managing and leading developers/programmers/data scientists required. Technical expertise in database and data management, including...",DIRECTOR OF DATA AND INFORMATION MANAGEMENT
823,        QuintilesIMS,"Plymouth Meeting, PA",,Philadelphia,"Extensive knowledge and experience in prescription data, emr data, managed care data (plan / payer data), medical claim data, patient longitudinal data,...",Statistical Programmer
824,"    Numeric, LLC","Philadelphia, PA",,Philadelphia,Manage multiple online & offline data sources and perform data management and data cleansing processes. BI group is seeking a skilled Statistical Data Analyst...,Statistical Data Analyst
825,        KPMG,"Philadelphia, PA",,Philadelphia,"Drive client engagements focused on Big Data and Advanced Business Analytics, in the Health Care space (Claims Data, Payor/Provider Data, Clinical Data etc);...",Manager - Health Care Analytics
826,        Unisys,"Blue Bell, PA",,Philadelphia,"May assign and review tasks, mentor junior architects, manage performance feedback, and create development plans consistent with performing the role of team...",Sr. Data Scientist
827,    Cavalier IT Inc,"Spring House, PA",,Philadelphia,The ability to generate and maintain experimental data in an electronic laboratory notebook in a highly organized manner is essential....,Scientist
828,        Children's Hospital of Philadelphia,"Philadelphia, PA 19104 (Belmont area)",,Philadelphia,"Specifically, the successful candidate will be the lead scientists on 2 major projects:. A Scientist position is available in the laboratory of Dr....",Scientist I - 63995 - 16-40433
829,    Correlation One,"Philadelphia, PA",,Philadelphia,Experience in machine learning and time series analysis a plus. Strong programmers in formal and even informal settings - their experience and exposure may span...,Quantitative Research Analyst
830,        Dechert LLP,"Philadelphia, PA 19104 (Belmont area)",,Philadelphia,Two to five years of legal reference and research experience with deep and broad knowledge of the legal materials and databases used to support the Firm's...,Research Analyst
831,"    Spark Therapeutics, Inc.","Philadelphia, PA",,Philadelphia,"The Head of Search and Evaluation will support the sourcing of new opportunities, lead the internal evaluation of new technologies with R&D scientists, and...",Head of Search and Evaluation
832,        Ally Financial Inc.,"Fort Washington, PA 19034",,Philadelphia,Flexible health insurance options including dental and vision. Ability to contribute and manage projects providing advice/direction in primary areas of...,Quantitative Analyst
833,"    Philadelphia Works, Inc.","Philadelphia, PA","$52,000 - $60,000 a year",Philadelphia,Automate data collection and reporting in a SQL environment. Other responsibilities include reporting and adding expert technical assistance in meetings and...,Senior Research Analyst
834,        Exponent,"Philadelphia, PA 19104 (Belmont area)",,Philadelphia,"Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve...",Associate
835,        GlaxoSmithKline,"Collegeville, PA 19426",,Philadelphia,Experience representing analytical aspects in project teams during clinical phase development – understanding of analytical project lifecycle....,"Investigator, Analytical Sciences - Dermatology (LK7)"
836,        TE Connectivity,"Berwyn, PA",,Philadelphia,"Examples of analytical tools that may be used include optimization, simulation, regression, decision trees, neural networks, cluster analysis, mixed models,...",Data Scientist
837,        IMS Health,"Plymouth Meeting, PA",,Philadelphia,"Multivariate analysis, regression analysis and forecasting, sampling, data modeling, R programming, machine learning, SPSS....",Statistician
838,        Accenture,"Berwyn, PA",,Philadelphia,"Clinical Data Management professionals manage data for clinical trials such as study set-up, study maintenance and close-out....",Statistical Programmer
839,        Vencore,"King of Prussia, PA",,Philadelphia,"Vencore is a proven provider of information solutions, engineering and analytics for the U.S. With more than 40 years of experience working in the defense,...",Predictive Modeling Analyst
840,    Wuxi AppTec,"Philadelphia, PA",,Philadelphia,Correctly analyzes scientific data with accuracy and precision. Demonstrates scientific technical expertise....,Associate Scientist/Study Director (Viral Clearance)
841,        Susquehanna International Group,"Philadelphia, PA",,Philadelphia,Experience in machine learning and time series analysis a plus. Strong programmers in formal and even informal settings - their experience and exposure may...,Quantitative Research Analyst
842,        Susquehanna International Group,"Philadelphia, PA",,Philadelphia,"Experience in the application of statistical machine learning, data mining, Bayesian inference, and/or MCMC. We are looking for a Statistical Machine Learning...",Quantitative Researcher - Machine Learning
843,    Simkar Corporation,"Philadelphia, PA 19120 (Olney area)",,Philadelphia,"Simkar offers a very competitive salary along with health insurance, dental insurance, 401k, FSA and life insurance....",Market Research Analyst
844,        Avanade,"Philadelphia, PA",,Philadelphia,"About the Data Scientist role. Microsoft SQL Server Data Science or Analytics (machine learning, analytical models, MAHOUT, etc.)....",Data Scientist Director - East
845,    CollabInfotech,"Malvern, PA",,Philadelphia,"Data reporting, some ability to troubleshoot equipment, scientific understanding of cell culture, and experience with team-based collaborations is a must....",Scientist
846,        Reed Elsevier,"Philadelphia, PA",,Philadelphia,To deliver recommender systems and big data analytics processing stacks to drive data which will drive machine learning across the suite of tools....,Principal Software Engineer - Machine Learning
847,"    Janssen Research & Development, LLC.","Spring House, PA",,Philadelphia,"Innovative ideas, products and services to advance the health and well-being of. Improve data analysis processes whenever possible....","Drexel Lab Scientist Co-op - Spring House, PA"
848,        Labcorp,"Philadelphia, PA",,Philadelphia,Our analysts are highly trained political scientists with extensive experience in the public and private sectors.Political risk is about understanding that...,Fire Detection Specialist
849,        Merck,"Gwynedd, PA",,Philadelphia,"Known as Merck in the United States and Canada, is a global health care leader with a diversified portfolio of prescription medicines, vaccines and animal...","Sourcing Analyst, Research & Development Procurement Job"
850,    BioStaff Solutions,"Malvern, PA",,Philadelphia,"8+ years of SAS programming supporting clinical research, with understanding of statistical principles applied to the design and analysis of clinical trials....","Team Lead, Statistical Programming, Remote"
851,        AmerisourceBergen,"Chesterbrook, PA",,Philadelphia,"Works with business stakeholders, data visualization specialists and/or data scientists to determine analytics data consumption alternatives and recommend...",Big Data Cloud Engineer II
852,    Inficare,"Wilmington, DE",,Philadelphia,"Analyze the massive data sets to analyze risk, trends and other management dashboard components. Program being data intensive, a lot of time will be spent on...",Business Analyst with Data Analysis (Card or Auto )
853,        On-Board Services,"North Wales, PA",$44 an hour,Philadelphia,"Review all vendor documents such as monitoring, project management, safety management, data management and validation plans....",Assistant Project Manager (Epidemiology)
854,        Reed Elsevier,"Philadelphia, PA",,Philadelphia,The successful candidate will develop specialized systems for completing machine learning assisted tasks and will develop recommendation engines and other...,Software Engineer - Machine Learning
855,    Correlation One,"Philadelphia, PA",,Philadelphia,"As a Financial Research Analyst, you should be comfortable applying modern mathematical and statistical methods, along with various computer technologies in...",Financial Research Analyst
856,"    NewAgeSys,Inc","West Point, PA 19486",$34 an hour,Philadelphia,Secondary responsibilities are diverse across the bioassay and cell based assay testing in support of the release and stability of drug substance and drug...,Lab instrument validation scientist
857,        Thomas Jefferson University and Hospitals,"Philadelphia, PA",,Philadelphia,"Thomas Jefferson University and Hospitals provide excellent clinical and compassionate care for our patients in the Philadelphia region, educate the health...",Systems Analyst Sr
858,        University of Pennsylvania,"Philadelphia, PA",,Philadelphia,Credit for authorship may be claimed from resulting manuscripts and scientific abstracts based on the effort in projects....,RESEARCH SPECIALIST A
859,        Charles River,"Horsham, PA",,Philadelphia,Provide technical and scientific guidance to the research staff. Function independently as a Project Scientist in the direction and execution of assigned...,Research Scientist II
860,"    Janssen Research & Development, LLC.","Spring House, PA",,Philadelphia,"Experiments, processing data, analyzing data and preparing reports, and. The Scientist will be. Scientific skills include attention to detail, significant...",SCIENTIST
861,        Riverside Research,"Buckley AFB, CO",,Denver,Provide data science and business analytics expertise on projects; Create data analytics to advise better ways of doing business;...,Data Scientist
862,        Return Path,"Broomfield, CO 80021",,Denver,"The Data Scientist will work closely with other data scientists , engineering teams, product management, marketing, and sales ....",Data Scientist
863,        Pearson,"Boulder, CO",,Denver,"*Software Engineer \- Machine Learning**. , we’recommitted to a world that’s always learning and to our talented team who makesit all possible\....",Software Engineer - Machine Learning
864,        KPMG,"Denver, CO 80202 (Lodo area)",,Denver,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",Data Scientist
865,        Riverside Research,"Buckley AFB, CO",,Denver,Provide data science and business analytics expertise on projects; Create data analytics to advise better ways of doing business;...,Data Scientist
866,    ICR Inc,"Denver, CO",,Denver,"⦁ Research, design, and development of algorithms for data mining, regression, classification across broad and disparate data sets....",Data Scientist
867,"    Vadata, Inc","Broomfield, CO",,Denver,"Together with a highly multi-disciplinary team of scientist, engineers, strategic partners, product managers and subject domain experts you will work on...",Data Scientist
868,        Denver Public Schools,"Denver, CO",$33.69 an hour,Denver,"Manage the build out of a data system to support the goals and activities of the CareerConnect Program. Applied Non-Linear Modeling & Multi-Level Analysis,...",SENIOR RESEARCH ANALYST AND DATA STRATEGIST
869,        KPMG,"Denver, CO 80202 (Lodo area)",,Denver,"Utilize analytics to explore data, and identify key trends and insights from multi-faceted, and high-dimensional data, and work with data scientists to create...",Data Visualization Software Engineer
870,        Denver Public Schools,"Denver, CO","$57,580 - $69,098 a year",Denver,"Previous project management experience preferred. Fulfill internal data requests, and coordinates external requests to conduct research within Denver Public...",RESEARCH ANALYST – 16996
871,        Galvanize,"Denver, CO",,Denver,"Galvanize has a tight-knit team of data scientists, educators, and community builders that are creating a pathway onto industry’s most demanding data science...","Associate Instructor, Data Science"
872,    Colorado Department of Human Services,"Denver, CO","$5,005 - $6,166 a month",Denver,"Medical and dental health plans. Proficient in statistical analysis and data querying software (e.g., SPSS, SQL, Crystal Reports)....",Research/Data Analyst - Trails Modernization
873,    Ray Allen,"Denver, CO 80202 (Lodo area)",,Denver,"The candidate will be supporting our Data Engineering team in developing and updating BI Dashboards using Qlik Sense, establishing ETL processes, creating...",Associate Data Scientist
874,    RefactorU,"Boulder, CO",,Denver,RefactorU is looking for one or more talented data scientists to join our growing team and help us develop and lead our Data Science Bootcamp....,Data Scientist (Curriculum Developer / Instructor)
875,        Pearson,"Centennial, CO",,Denver,"+ High fluency in using scientific computing tools like Python, R and/or equivalents\. Data structures, data representation, data cleaning, data governance, and...",Senior Data/Research Scientist
876,        Amazon Corporate LLC,United States,,Denver,"Principal Engineer, Machine Learning for AV. Computer Science fundamentals in data structures. Experience developing statistical modeling and processing big...","Principal Engineer, Machine Learning- Relocation Opportunity"
877,        Saudi Aramco,United States,,Denver,"Petroleum engineers and earth scientists in E&P work with cutting-edge technology to manage and produce these reserves, including 3D visualization, reservoir...",Unconventional Simulation Engineer
878,"        Amazon Web Services, Inc.",United States,,Denver,"A successful candidate will bring deep technical and software expertise, strong business acumen and judgment, ability to define visionary, ground breaking...","Director of Software Engineering, Machine Learning- Relocati..."
879,        National Renewable Energy Laboratory,"Golden, CO",,Denver,The student intern will work with research scientists in the National Bioenergy Center’s Bench Scale Integration (BSI) project cultivating a variety of...,"Internship (Year Round Part Time, Full Time Summer) - Fermen..."
880,        Oracle,"Broomfield, CO",,Denver,Other data scientists as methodology is developed and deployed. A Senior Data Scientist (Data Scientist III) you’ll be developing cutting edge....,Data Scientist - Oracle Data Cloud
881,        Ibotta,"Denver, CO 80202 (Lodo area)",,Denver,Strong experience working with data scientists and analysts. Build and maintain production-scale analytics and machine learning features....,Data Engineer
882,    CaliberMind,"Boulder, CO","$120,000 a year",Denver,Preferred - PhD in Computer Science including machine learning and data mining. Recruitment and mentoring of a team of data scientists evolving distinctive...,Senior Data Scientist
883,        National Jewish Health,"Denver, CO",,Denver,Prepares data for utilization by other scientists. Writes advanced scripts to access databases and analyze data....,Research Associate - Bioinformatics
884,        Oracle,"Westminster, CO",,Denver,"Data Scientists galore. Competency with big-data tools—such as SQL, Python, R, SAS. As a Senior Data Scientist on the Retail Analytics team, you would combine...",Senior Data Scientist - Retail Analytics
885,        Galvanize,"Denver, CO",,Denver,"Lead Instructor, Principal Data Scientist. Join us in building the world's hub for education in data science and data engineering....","Lead Instructor, Principal Data Scientist"
886,        Leidos,"Englewood, CO",,Denver,"Leidos is a global science and technology solutions leader working to solve the world's toughest challenges in the defense, intelligence, homeland security,...",Operations Research Analyst
887,    NextHealth Technologies,"Denver, CO",,Denver,"Partner with Data Scientists and Engineering teams in creating the requirements analysis, the platform selection, design of the technical architecture, design...",Data Architect
888,    Welltok Inc.,"Denver, CO 80202 (Lodo area)",,Denver,Working with analytics team or data scientists with complex query or report design. Our solutions enable health plans and other key stakeholders to engage and...,Business Intelligence Engineer
889,        Saudi Aramco,United States,,Denver,"Petroleum engineers and earth scientists in E&P work with cutting-edge technology to manage and produce these reserves, including 3D visualization, reservoir...",Consultant Geologist - Petrophysicist
890,        Leidos,"Englewood, CO",,Denver,"Leidos is a global science and technology solutions leader working to solve the world's toughest challenges in the defense, intelligence, homeland security,...",Operations Research Analyst
891,        Leidos,"Englewood, CO",,Denver,"Leidos is a global science and technology solutions leader working to solve the world's toughest challenges in the defense, intelligence, homeland security,...",Sr. Air Force Operations Research Analyst
892,        Saudi Aramco,United States,,Denver,"Petroleum engineers and earth scientists in E&P work with cutting-edge technology to manage and produce these reserves, including 3D visualization, reservoir...",Business Systems Analyst - Unconventional Resources
893,    Pryor Associates - Pauline Reimer,United States,,Denver,"Perform quantitative analyses on trend data to determine impact of trends on relevant insurance parameters, including loss frequency trends or exposure growth....",Insurance Data Analytics Senior Modeler - PR9204B
894,        DISH Network,"Englewood, CO",,Denver,"As a Quantitative Analyst, you will be a key contributor performing professional and scientific work requiring the design, development, and adaption of...",Quantitative Analyst
895,        Google,"Boulder, CO 80302",,Denver,"The Google Cloud training team already develops and delivers Google Cloud Platform product and solution training to thousands of partners, end-users and...","Cloud Instructor (Big Data, Machine Learning), Google Cloud..."
896,    AristonTek Inc,"Englewood, CO",,Denver,"Serving as a subject matter expert in the capabilities of Data Science. Advanced knowledge of two or more of the analytics languages/toolkits such as R, SAS,...",Need Data Scientist consultant
897,        KPMG,"Denver, CO 80202 (Lodo area)",,Denver,"Lead a Data Analytics team. Work with Tax business teams to identify anomalies, trends and derive insights in large volumes of data to support Tax Planning,...","Senior Associate, Data Analytics - Machine Learning"
898,        Staples,"Aurora, CO",,Denver,Collaborate with data scientists in other departments to conduct analysis and research which gives a full view of the customer experience (e.g....,Senior Insight Analyst
899,        Galvanize,"Denver, CO",,Denver,"Instructor, Sr Data Scientist. Join us in building the world's hub for education in data science and data engineering....","Instructor, Sr. Data Scientist"
900,    xentity corporation,"Denver, CO",,Denver,"We are looking for data analysts, data wranglers, data scientists with excellent leadership, technical, and subject matter expertise qualities....",Data Science Analyst
901,        General Assembly,"Denver, CO",,Denver,"Python, Machine Learning, Probability, Statistics, manipulation of large data sets, data visualization techniques....",Part-time Data Science Instructor
902,        DISH Network,"Englewood, CO",,Denver,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
903,    LENDERLIVE NETWORK LLC,"Glendale, CO",,Denver,"Ensure adherence to companyhedge and pricing policies. 1 to 3 years quantitativeanalysis, hedging and trading experience....",Quantitative Trading Analyst
904,        Return Path,"Boulder, CO",,Denver,You will also be working very closely with the Data Scientists and Product Managers to build an effective system that complements the skills of the Data...,Software Engineer
905,        University of Denver,"Denver, CO",,Denver,"Knowledge of data visualization and dashboard development. Knowledge of quantitative research methods as applied in the social sciences, including statistical...",Senior Research Analyst - Office of Institutional Research &...
906,        National Jewish Health,"Denver, CO",,Denver,Collaborates with and supports scientists in the area of bioinformatics analysis. Provide bioinformatics support to scientists....,Bioinformatics Analyst I
907,        KPMG,"Denver, CO 80202 (Lodo area)",,Denver,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Five years of professional experience working as a Data...",Sr Associate - Data Scientist
908,        Leidos,"Englewood, CO",,Denver,"Leidos is a global science and technology solutions leader working to solve the world's toughest challenges in the defense, intelligence, homeland security,...",Advanced Operations Research Analyst
909,    National Ecological Observatory Network Inc,"Boulder, CO",,Denver,"A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatorys scientists and engineers...",Staff Scientist-Data Products
910,"    Riverside Technology, inc.","Boulder, CO",,Denver,Riverside is seeking a Scientific Programmer to work on the Joint Effort for Data assimilation Integration (JEDI) in support of the U.S....,Scientific Programmer
911,        U.S. Bank,"Denver, CO",,Denver,"The overall structure is designed to promote effective governance and risk with the goal to assess and/or manage risks that may impact the company, including...",Quantitative Model Risk Analyst
912,        University of Colorado,"Aurora, CO","$50,000 - $63,000 a year",Denver,"Monitor trends in biomedical data curation, clinical translational sciences, and biomedical research. With six schools and colleges, CU Anschutz trains the...",Bioinformationist
913,        Pearson,"Centennial, CO",,Denver,"Data mining, Big data, Scientist, Data Scientist, Education, Knowledge inference, Causal inference, Behavior detection, Time series, Learning algorithms,...",Machine Learning Engineer
914,"    Truven Health Analytics, an IBM Company","Denver, CO",,Denver,"Direct more junior Research Analyst and Research Assistant staff to extract data from various sources to support the development of research proposals, project...",Senior Research Analyst
915,        University of Colorado,"Boulder, CO",,Denver,Data Assimilation Development. Ensemble-variational data assimilation system. Research scientist to develop and test....,Research Associate
916,        Pearson,"Boulder, CO",,Denver,"*Software Engineer \- Machine Learning**. , we’recommitted to a world that’s always learning and to our talented team who makesit all possible\....",Software Engineer - Machine Learning
917,        Comcast,"Englewood, CO 80112",,Denver,"The successful candidate will work closely with data scientists, quality engineers, source teams, and decision makers to make sense of customer viewing on a...",Big Data Analyst
918,    Connecting People inc,"Denver, CO 80204 (Central West Denver area)",,Denver,Work with the academic and business community to develop new techniques and contribute to research in the area of business intelligence and analytics on large...,Data Scientist
919,        Ball Aerospace,"Boulder, CO",,Denver,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",Material Control Analyst I (659808)
920,        Pearson,"Centennial, CO",,Denver,"As a data scientist in machine learning, you will have the opportunity to leverage Pearson’s rich data and in collaboration with our innovative scientists and...","Senior Data/Research Scientist, Machine Learning"
921,        University of Colorado,"Boulder, CO","$100,000 - $115,000 a year",Denver,"Of visiting scientists; Tackle major scientific, technological, education, broadening participation and....",Managing Director for STROBE
922,        National Renewable Energy Laboratory,"Golden, CO",,Denver,"Work with scientific data management researchers, data scientists, software and application programmers, renewable energy scientists and other stakeholders to...",Scientific Data Systems Support Specialist
923,        Ibotta,"Denver, CO 80202 (Lodo area)",,Denver,"Partner with VP of Consumer Insights, VP of Ibottalytics and data scientists to shape the overall Consumer Insights & Analytics product strategy and product...","Account Executive, Consumer Insights & Analytics"
924,        Oracle,"Westminster, CO",,Denver,Data scientists and desire to act as a mentor to up and coming data scientists. Other team members and data scientists to brainstorm solutions....,Sr. Data Scientist-Identity Data Science
925,    xentity corporation,"Denver, CO",,Denver,"We are looking for data analysts, data wranglers, data scientists with excellent leadership, technical, and subject matter expertise qualities....",Data Analyst
926,    RefactorU,"Boulder, CO",,Denver,RefactorU is looking for one or more talented data scientists to join our growing team and help us develop and lead our Data Science Bootcamp....,Data Scientist (Curriculum Developer / Instructor)
927,        Arrow Electronics,"Englewood, CO 80112",,Denver,3 years experience developing and implementing decision support systems in a business intelligence analyst or data scientist role....,Big Data Developer I
928,    Markit Financial Info Service,"Boulder, CO",,Denver,"Use data mining, machine learning, and other techniques to identify and interpret trends or patterns from complex financial data....","Data Scientist, Markit Digital"
929,    xentity corporation,"Denver, CO","$95,000 - $127,000 a year",Denver,"Bachelor's Degree with a Masters in Business Administration, Information Technology, or specific relevant subject area....",Government Enterprise Architect
